song_title,artist,나이,성별,장르,분위기,인원수,상황
"#2025 : YOU (Feat. YOUHA(유하), cyd)",Minit,20대 30대,남,발라드,애절한,듀엣,감성충전
('Cause) I'm Your Girl,S.E.S.,10대 20대,여,댄스,신나는,그룹,분위기 띄우기
(이런 XX) 뭐야 이건,지니 (Geenie),20대 30대,남,발라드,애절한,혼자,감성충전
...말하자면,김성재,20대 30대,남,발라드,애절한,혼자,감성충전
...사랑했잖아...,린 (LYn),20대 30대,여,발라드,달달,혼자,데이트
...사랑했잖아...(2024),고경표,20대 30대,남,발라드,달달,혼자,데이트
...안 되나요... (부제: 화양연화),휘성 (Realslow),20대 30대,남,발라드,애절한,혼자,감성충전
0+0,한로로,20대 30대,남,발라드,애절한,혼자,감성충전
000 [영영영],박현우,20대 30대,남,발라드,애절한,혼자,감성충전
801,Stray Kids (스트레이 키즈),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
0순위,숙행,20대 30대,남,발라드,애절한,혼자,감성충전
1 Chance,윤지영,20대 30대,남,발라드,애절한,혼자,감성충전
1 MORE,행주,20대 30대,남,발라드,애절한,혼자,감성충전
"10,000 Hours",Justin Bieber,20대 30대,남,발라드,애절한,혼자,감성충전
"10,000km (Feat. 솔지 of EXID)",Jimmy Brown,20대 30대,남,발라드,애절한,듀엣,감성충전
100,Ella Mai,20대 30대,남,발라드,애절한,혼자,감성충전
1024 (10월 24일),유피,20대 30대,남,발라드,애절한,혼자,감성충전
10분 내로,김연자,40대 50대+,여,트로트,신나는,혼자,분위기 띄우기
10월 4일,아이유 (IU),20대 30대,여,발라드,애절한,혼자,감성충전
10월의 날씨,10CM,20대 30대,남,발라드,애절한,혼자,감성충전
10점 만점에 10점,2PM,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
112파티,김연자,40대 50대+,여,트로트,신나는,혼자,분위기 띄우기
11:11,태연 (TAEYEON),20대 30대,여,발라드,애절한,혼자,감성충전
123-78,BOYNEXTDOOR,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
12:00,환상약국,20대 30대,남,발라드,애절한,혼자,감성충전
12:32 (A to T),PLAVE,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
12:34,The Band CAMINO,20대 30대,남,락,신나는,그룹,분위기 띄우기
12시 30분,비스트 (Beast),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
